account,property_name,amount
Gross Profit,1337 Wilshire Dr.,159217.8
Closing Costs,1337 Wilshire Dr.,711.5
Dumpsters,1337 Wilshire Dr.,1506.68
Interest Payment,1337 Wilshire Dr.,10441.67
Labor,1337 Wilshire Dr.,32200
Materials,1337 Wilshire Dr.,23794.97
Professional Fees,1337 Wilshire Dr.,1300
Property Insurance,1337 Wilshire Dr.,1597.5
Third Party Vendors,1337 Wilshire Dr.,18592.42
Total for Expenses,1337 Wilshire Dr.,90144.74
Net Operating Income,1337 Wilshire Dr.,69073.05999999998
Net Income,1337 Wilshire Dr.,69073.05999999998
Sale of property,1341 Hillwood Dr.,149098.99
Total for Income,1341 Hillwood Dr.,149098.99
Gross Profit,1341 Hillwood Dr.,149098.99
Dumpsters,1341 Hillwood Dr.,1787.05
Interest Payment,1341 Hillwood Dr.,2400
Labor,1341 Hillwood Dr.,32616.27
Materials,1341 Hillwood Dr.,19541.83
Photography,1341 Hillwood Dr.,100
Property Insurance,1341 Hillwood Dr.,1187
Third Party Vendors,1341 Hillwood Dr.,12504.61
Total for Expenses,1341 Hillwood Dr.,70136.76000000001
Net Operating Income,1341 Hillwood Dr.,78962.22999999998
Net Income,1341 Hillwood Dr.,78962.22999999998
Sale of property,1341 Winola Ln,126410.61
Total for Income,1341 Winola Ln,126410.61
Gross Profit,1341 Winola Ln,126410.61
Closing Costs,1341 Winola Ln,25469.89
Dumpsters,1341 Winola Ln,1465.82
Interest Payment,1341 Winola Ln,2951.99
Labor,1341 Winola Ln,28614
Materials,1341 Winola Ln,23439.99
Third Party Vendors,1341 Winola Ln,15826.92
Utilities,1341 Winola Ln,611.46
Total for Expenses,1341 Winola Ln,98380.07
Net Operating Income,1341 Winola Ln,28030.539999999994
Net Income,1341 Winola Ln,28030.539999999994
Sale of property,1345 Winola Ln,206998.35
Total for Income,1345 Winola Ln,206998.35
Gross Profit,1345 Winola Ln,206998.35
Dumpsters,1345 Winola Ln,1473.5
Earnest money,1345 Winola Ln,500
Labor,1345 Winola Ln,22910
Materials,1345 Winola Ln,17208.9
Property Purchase,1345 Winola Ln,128906.75
Third Party Vendors,1345 Winola Ln,12927.64
Total for Expenses,1345 Winola Ln,183926.78999999998
Net Operating Income,1345 Winola Ln,23071.560000000027
Net Income,1345 Winola Ln,23071.560000000027
Sale of property,1359 Annie Lee Rd,83425.81
Total for Income,1359 Annie Lee Rd,83425.81
Gross Profit,1359 Annie Lee Rd,83425.81
Dumpsters,1359 Annie Lee Rd,1012.75
Interest Payment,1359 Annie Lee Rd,4198.92
Labor,1359 Annie Lee Rd,10350
Materials,1359 Annie Lee Rd,6699.23
Property Purchase,1359 Annie Lee Rd,221271.64
Third Party Vendors,1359 Annie Lee Rd,4030
Total for Expenses,1359 Annie Lee Rd,247562.54
Net Operating Income,1359 Annie Lee Rd,-164136.73
Mortgage,1359 Annie Lee Rd,220000
Total for Other Income,1359 Annie Lee Rd,220000
Net Other Income,1359 Annie Lee Rd,220000
Net Income,1359 Annie Lee Rd,55863.26999999999
Sale of property,1401 Oak Terr.,115299.88
Total for Income,1401 Oak Terr.,115299.88
Gross Profit,1401 Oak Terr.,115299.88
Admin Services,1401 Oak Terr.,600
Closing Costs,1401 Oak Terr.,2242.7
Dumpsters,1401 Oak Terr.,983.87
Interest Payment,1401 Oak Terr.,2400
Labor,1401 Oak Terr.,19550
Materials,1401 Oak Terr.,10120.47
Photography,1401 Oak Terr.,115
Third Party Vendors,1401 Oak Terr.,9975.5
Total for Expenses,1401 Oak Terr.,45987.54
Net Operating Income,1401 Oak Terr.,69312.34
Net Income,1401 Oak Terr.,69312.34
Sale of property,1409 High Point Terrace,215119.36
Total for Income,1409 High Point Terrace,215119.36
Gross Profit,1409 High Point Terrace,215119.36
Auction,1409 High Point Terrace,151.75
Cleaning services,1409 High Point Terrace,200
Dumpsters,1409 High Point Terrace,2738.38
Earnest money,1409 High Point Terrace,5000
Labor,1409 High Point Terrace,26115.63
Materials,1409 High Point Terrace,27716.76
Parking,1409 High Point Terrace,6
Property Purchase,1409 High Point Terrace,102000
Third Party Vendors,1409 High Point Terrace,25854.22
Utilities,1409 High Point Terrace,1278
Total for Expenses,1409 High Point Terrace,191060.74000000002
Net Operating Income,1409 High Point Terrace,24058.619999999966
Net Income,1409 High Point Terrace,24058.619999999966
Cleaning services,141 Deer Park Dr,433.34
Closing Costs,141 Deer Park Dr,8446.5
Dumpsters,141 Deer Park Dr,1956.15
Interest Payment,141 Deer Park Dr,13500
Labor,141 Deer Park Dr,29200
Materials,141 Deer Park Dr,31406.03
Property Insurance,141 Deer Park Dr,2099.6
Staging and Interiors,141 Deer Park Dr,5320
Third Party Vendors,141 Deer Park Dr,15678.63
Utilities,141 Deer Park Dr,1782.84
Total for Expenses,141 Deer Park Dr,109823.09
Net Operating Income,141 Deer Park Dr,-109823.09
Net Income,141 Deer Park Dr,-109823.09
Sale of property,1412 13th Terrace.,104197.97
Total for Income,1412 13th Terrace.,104197.97
Gross Profit,1412 13th Terrace.,104197.97
Dumpsters,1412 13th Terrace.,1024.26
Earnest money,1412 13th Terrace.,1000
Labor,1412 13th Terrace.,22800
Materials,1412 13th Terrace.,23467.38
Mortgage Payment,1412 13th Terrace.,8176.51
Property Purchase,1412 13th Terrace.,206363.59
Third Party Vendors,1412 13th Terrace.,7165.4
Utilities,1412 13th Terrace.,696.68
Total for Expenses,1412 13th Terrace.,270693.82
Net Operating Income,1412 13th Terrace.,-166495.85
Mortgage,1412 13th Terrace.,164000
Total for Other Income,1412 13th Terrace.,164000
Net Other Income,1412 13th Terrace.,164000
Net Income,1412 13th Terrace.,-2495.850000000006
Sale of property,1437 Ware Blvd,210490.85
Total for Income,1437 Ware Blvd,210490.85
Gross Profit,1437 Ware Blvd,210490.85
Cleaning services,1437 Ware Blvd,200
Deed Recording,1437 Ware Blvd,123
Dumpsters,1437 Ware Blvd,7499.45
Earnest money,1437 Ware Blvd,8403.08
Labor,1437 Ware Blvd,38331.45
Materials,1437 Ware Blvd,29631.41
Property Purchase,1437 Ware Blvd,73017.25
Reinspection Fee,1437 Ware Blvd,350
Third Party Vendors,1437 Ware Blvd,33668.73
Utilities,1437 Ware Blvd,1266.67
Total for Expenses,1437 Ware Blvd,192491.04000000004
Net Operating Income,1437 Ware Blvd,17999.80999999997
Net Income,1437 Ware Blvd,17999.80999999997
Cleaning services,144 Lake Front Dr.,1865
Interest Payment,144 Lake Front Dr.,2500
Materials,144 Lake Front Dr.,8.44
Third Party Vendors,144 Lake Front Dr.,4488
Utilities,144 Lake Front Dr.,7190.46
Total for Expenses,144 Lake Front Dr.,16051.899999999998
Net Operating Income,144 Lake Front Dr.,-16051.899999999998
Mortgage,144 Lake Front Dr.,180000
Total for Other Income,144 Lake Front Dr.,180000
Net Other Income,144 Lake Front Dr.,180000
Net Income,144 Lake Front Dr.,163948.1
Sale of property,1449 Paragon Prkwy,121654.35
Total for Income,1449 Paragon Prkwy,121654.35
Gross Profit,1449 Paragon Prkwy,121654.35
Cleaning services,1449 Paragon Prkwy,140
Closing Costs,1449 Paragon Prkwy,24256.95
Dumpsters,1449 Paragon Prkwy,559.68
Earnest money,1449 Paragon Prkwy,5000
Labor,1449 Paragon Prkwy,22450
Materials,1449 Paragon Prkwy,10781.85
Mortgage Payment,1449 Paragon Prkwy,5172.1
Third Party Vendors,1449 Paragon Prkwy,5775
Total for Expenses,1449 Paragon Prkwy,74135.58
Net Operating Income,1449 Paragon Prkwy,47518.770000000004
Net Income,1449 Paragon Prkwy,47518.770000000004
Advertising and Promotion,1457 4th Pl NW,150
Total for Expenses,1457 4th Pl NW,150
Net Operating Income,1457 4th Pl NW,-150
Net Income,1457 4th Pl NW,-150
Sale of property,14695 Hwy 75,74387.7
Total for Income,14695 Hwy 75,74387.7
Gross Profit,14695 Hwy 75,74387.7
Labor and Materials,14695 Hwy 75,2500
Reimbursment,14695 Hwy 75,4732
Third Party Vendors,14695 Hwy 75,268
Total for Expenses,14695 Hwy 75,7500
Net Operating Income,14695 Hwy 75,66887.7
Net Income,14695 Hwy 75,66887.7
Sale of property,149 Winterhaven Dr,105506.29
Total for Income,149 Winterhaven Dr,105506.29
Gross Profit,149 Winterhaven Dr,105506.29
Business License,149 Winterhaven Dr,136.75
Dumpsters,149 Winterhaven Dr,1501.64
Interest Payment,149 Winterhaven Dr,1666.67
Labor,149 Winterhaven Dr,20610
Materials,149 Winterhaven Dr,25736.05
Property Purchase,149 Winterhaven Dr,126089.09
Third Party Vendors,149 Winterhaven Dr,9027.69
Total for Expenses,149 Winterhaven Dr,184767.89
Net Operating Income,149 Winterhaven Dr,-79261.60000000002
Mortgage,149 Winterhaven Dr,125000
Total for Other Income,149 Winterhaven Dr,125000
Net Other Income,149 Winterhaven Dr,125000
Net Income,149 Winterhaven Dr,45738.39999999998
Sale of property,150 Beaver Ridge,130414.83
Total for Income,150 Beaver Ridge,130414.83
Gross Profit,150 Beaver Ridge,130414.83
Cleaning services,150 Beaver Ridge,475
Dumpsters,150 Beaver Ridge,1494.28
Interest Payment,150 Beaver Ridge,23161.29
Labor,150 Beaver Ridge,33145.5
Materials,150 Beaver Ridge,28638.13
Office Supplies,150 Beaver Ridge,802.16
Property Purchase,150 Beaver Ridge,226876.65
Third Party Vendors,150 Beaver Ridge,33130.38
Utilities,150 Beaver Ridge,1728.17
Total for Expenses,150 Beaver Ridge,349451.56
Net Operating Income,150 Beaver Ridge,-219036.72999999998
Mortgage,150 Beaver Ridge,225000
Total for Other Income,150 Beaver Ridge,225000
Net Other Income,150 Beaver Ridge,225000
Net Income,150 Beaver Ridge,5963.270000000019
Sale of property,1504 8th St NW,117207.13
Total for Income,1504 8th St NW,117207.13
Gross Profit,1504 8th St NW,117207.13
Dumpsters,1504 8th St NW,2771.21
Interest Payment,1504 8th St NW,4800
Labor,1504 8th St NW,33923.14
Materials,1504 8th St NW,24743.43
Property Insurance,1504 8th St NW,590.42
Property Purchase,1504 8th St NW,8857.5
Referal Fee,1504 8th St NW,3006.3
Third Party Vendors,1504 8th St NW,9823.53
Utilities,1504 8th St NW,1748.46
Total for Expenses,1504 8th St NW,90263.99
Net Operating Income,1504 8th St NW,26943.14
Net Income,1504 8th St NW,26943.14
Sale of property,1508 4th St. NW,155488.28
Total for Income,1508 4th St. NW,155488.28
Gross Profit,1508 4th St. NW,155488.28
Admin Services,1508 4th St. NW,300
Labor,1508 4th St. NW,15458.67
Materials,1508 4th St. NW,4447.53
Photography,1508 4th St. NW,200
Property Purchase,1508 4th St. NW,91063.32
Third Party Vendors,1508 4th St. NW,15874.22
Total for Expenses,1508 4th St. NW,127343.74
Net Operating Income,1508 4th St. NW,28144.539999999994
Net Income,1508 4th St. NW,28144.539999999994
Sale of property,151 2nd St. N,145000.04
Total for Income,151 2nd St. N,145000.04
Gross Profit,151 2nd St. N,145000.04
Dumpsters,151 2nd St. N,3439.72
Interest Payment,151 2nd St. N,5749.98
Labor,151 2nd St. N,43660
Materials,151 2nd St. N,48069.9
Permits,151 2nd St. N,2484
Property Purchase,151 2nd St. N,116029.27
Staging and Interiors,151 2nd St. N,4000
Third Party Vendors,151 2nd St. N,36281.4
Utilities,151 2nd St. N,62.05
Total for Expenses,151 2nd St. N,259776.31999999998
Net Operating Income,151 2nd St. N,-114776.27999999997
Mortgage,151 2nd St. N,115000
Total for Other Income,151 2nd St. N,115000
Net Other Income,151 2nd St. N,115000
Net Income,151 2nd St. N,223.72000000003027
Sale of property,1533 Choctaw Dr,75901.97
Total for Income,1533 Choctaw Dr,75901.97
Gross Profit,1533 Choctaw Dr,75901.97
Materials,1533 Choctaw Dr,1119.56
Property Purchase,1533 Choctaw Dr,63552.09
Total for Expenses,1533 Choctaw Dr,64671.649999999994
Net Operating Income,1533 Choctaw Dr,11230.320000000007
Net Income,1533 Choctaw Dr,11230.320000000007
Sale of property,1546 Lacie Dr,294636.92
Total for Income,1546 Lacie Dr,294636.92
Gross Profit,1546 Lacie Dr,294636.92
Cleaning services,1546 Lacie Dr,270
Dumpsters,1546 Lacie Dr,2516.94
Earnest money,1546 Lacie Dr,1000
Interest Payment,1546 Lacie Dr,13951.61
Labor,1546 Lacie Dr,47600
Materials,1546 Lacie Dr,60325.25
Permits,1546 Lacie Dr,1891.4
Third Party Vendors,1546 Lacie Dr,29179.8
Total for Expenses,1546 Lacie Dr,156735
Net Operating Income,1546 Lacie Dr,137901.91999999998
Net Income,1546 Lacie Dr,137901.91999999998
Sale of property,155 Treymoore Dr,128974.17
Total for Income,155 Treymoore Dr,128974.17
Gross Profit,155 Treymoore Dr,128974.17
Admin Services,155 Treymoore Dr,300
Closing Costs,155 Treymoore Dr,52612.31
Dumpsters,155 Treymoore Dr,1918.89
Labor,155 Treymoore Dr,20931.25
Materials,155 Treymoore Dr,15175.43
Photography,155 Treymoore Dr,130
Third Party Vendors,155 Treymoore Dr,13636.33
Utilities,155 Treymoore Dr,181.85
Total for Expenses,155 Treymoore Dr,104886.06000000001
Net Operating Income,155 Treymoore Dr,24088.109999999986
Net Income,155 Treymoore Dr,24088.109999999986
Business License,1557 Napoleon Dr,139.34
Labor,1557 Napoleon Dr,22633.25
Materials,1557 Napoleon Dr,-420.4
Property Purchase,1557 Napoleon Dr,45288.62
Property taxes,1557 Napoleon Dr,1955.21
Third Party Vendors,1557 Napoleon Dr,15280
Utilities,1557 Napoleon Dr,441
Total for Expenses,1557 Napoleon Dr,85317.02
Net Operating Income,1557 Napoleon Dr,-85317.02
Net Income,1557 Napoleon Dr,-85317.02
Sale of property,157 Sweetgum Dr,213560.31
Total for Income,157 Sweetgum Dr,213560.31
Gross Profit,157 Sweetgum Dr,213560.31
Dumpsters,157 Sweetgum Dr,4234.71
Earnest money,157 Sweetgum Dr,5000
Labor,157 Sweetgum Dr,25622.63
Materials,157 Sweetgum Dr,23232.88
Property Purchase,157 Sweetgum Dr,76460.59
Third Party Vendors,157 Sweetgum Dr,16396.53
Utilities,157 Sweetgum Dr,1318.25
Total for Expenses,157 Sweetgum Dr,152265.59
Net Operating Income,157 Sweetgum Dr,61294.72
Net Income,157 Sweetgum Dr,61294.72
Sale of property,1604 Tahoe Rd,118615.45
Total for Income,1604 Tahoe Rd,118615.45
Gross Profit,1604 Tahoe Rd,118615.45
Admin Services,1604 Tahoe Rd,300
Cleaning services,1604 Tahoe Rd,150
Closing Costs,1604 Tahoe Rd,9032.2
Dumpsters,1604 Tahoe Rd,2015.7
Labor,1604 Tahoe Rd,39150
Materials,1604 Tahoe Rd,24097.94
Referal Fee,1604 Tahoe Rd,1000
Third Party Vendors,1604 Tahoe Rd,13695
Total for Expenses,1604 Tahoe Rd,89440.84
Net Operating Income,1604 Tahoe Rd,29174.61
Net Income,1604 Tahoe Rd,29174.61
Sale of property,1608 Kestwick Dr,215187.86
Total for Income,1608 Kestwick Dr,215187.86
Gross Profit,1608 Kestwick Dr,215187.86
Cleaning services,1608 Kestwick Dr,475
Dumpsters,1608 Kestwick Dr,6183.1
Interest Payment,1608 Kestwick Dr,17980.63
Labor,1608 Kestwick Dr,46879.93
Materials,1608 Kestwick Dr,48406.67
Permits,1608 Kestwick Dr,3291.31
Property Purchase,1608 Kestwick Dr,68267.12
Reinspection Fee,1608 Kestwick Dr,75
Third Party Vendors,1608 Kestwick Dr,41957.23
Utilities,1608 Kestwick Dr,3017.59
Total for Expenses,1608 Kestwick Dr,236533.58000000002
Net Operating Income,1608 Kestwick Dr,-21345.72000000003
Net Income,1608 Kestwick Dr,-21345.72000000003
Sale of property,1609 Sonia Dr,211570.44
Total for Income,1609 Sonia Dr,211570.44
Gross Profit,1609 Sonia Dr,211570.44
Auction,1609 Sonia Dr,5118
Dumpsters,1609 Sonia Dr,3429.05
Labor,1609 Sonia Dr,54300
Materials,1609 Sonia Dr,41122.04
Property Purchase,1609 Sonia Dr,50100
Third Party Vendors,1609 Sonia Dr,21062.84
Total for Expenses,1609 Sonia Dr,175131.93
Net Operating Income,1609 Sonia Dr,36438.51000000001
Mortgage,1609 Sonia Dr,-4086
Total for Other Income,1609 Sonia Dr,-4086
Net Other Income,1609 Sonia Dr,-4086
Net Income,1609 Sonia Dr,32352.51000000001
Sale of property,1612 Big Mtn. Dr.,98402.01
Total for Income,1612 Big Mtn. Dr.,98402.01
Gross Profit,1612 Big Mtn. Dr.,98402.01
Dumpsters,1612 Big Mtn. Dr.,1868.52
Earnest money,1612 Big Mtn. Dr.,1500
Labor,1612 Big Mtn. Dr.,20371.14
Materials,1612 Big Mtn. Dr.,9440.59
Property Purchase,1612 Big Mtn. Dr.,80000
Referal Fee,1612 Big Mtn. Dr.,2000
Third Party Vendors,1612 Big Mtn. Dr.,9328.11
Total for Expenses,1612 Big Mtn. Dr.,124508.36
Net Operating Income,1612 Big Mtn. Dr.,-26106.350000000006
Mortgage,1612 Big Mtn. Dr.,80000
Total for Other Income,1612 Big Mtn. Dr.,80000
Net Other Income,1612 Big Mtn. Dr.,80000
Net Income,1612 Big Mtn. Dr.,53893.649999999994
Sale of property,163 Sunrise Dr,62477.68
Total for Income,163 Sunrise Dr,62477.68
Gross Profit,163 Sunrise Dr,62477.68
Cleaning services,163 Sunrise Dr,190
Dumpsters,163 Sunrise Dr,2879.62
Labor,163 Sunrise Dr,25892.46
Materials,163 Sunrise Dr,19120.85
Property Purchase,163 Sunrise Dr,15843.24
Third Party Vendors,163 Sunrise Dr,16017.83
Utilities,163 Sunrise Dr,872.19
Total for Expenses,163 Sunrise Dr,80816.18999999999
Net Operating Income,163 Sunrise Dr,-18338.509999999987
Net Income,163 Sunrise Dr,-18338.509999999987
Sale of property,1645 Barrington Ln NE,112314.28
Total for Income,1645 Barrington Ln NE,112314.28
Gross Profit,1645 Barrington Ln NE,112314.28
Cleaning services,1645 Barrington Ln NE,458.33
Dumpsters,1645 Barrington Ln NE,1338.75
Interest Payment,1645 Barrington Ln NE,1650
Labor,1645 Barrington Ln NE,19350
Materials,1645 Barrington Ln NE,26016.47
Property Insurance,1645 Barrington Ln NE,1335.15
Property Purchase,1645 Barrington Ln NE,3707.78
Third Party Vendors,1645 Barrington Ln NE,23657.34
Utilities,1645 Barrington Ln NE,794.31
Total for Expenses,1645 Barrington Ln NE,78308.13
Net Operating Income,1645 Barrington Ln NE,34006.149999999994
Net Income,1645 Barrington Ln NE,34006.149999999994
Sale of property,1646 Roberta Ln,140319.62
Total for Income,1646 Roberta Ln,140319.62
Gross Profit,1646 Roberta Ln,140319.62
Closing Costs,1646 Roberta Ln,25894.5
Dumpsters,1646 Roberta Ln,1494.38
Labor,1646 Roberta Ln,25632
Materials,1646 Roberta Ln,16647.7
Third Party Vendors,1646 Roberta Ln,19451.03
Total for Expenses,1646 Roberta Ln,89119.61
Net Operating Income,1646 Roberta Ln,51200.009999999995
Net Income,1646 Roberta Ln,51200.009999999995
Cleaning services,1676 Five Points Rd,225
Dumpsters,1676 Five Points Rd,1470
Interest Payment,1676 Five Points Rd,8000
Labor,1676 Five Points Rd,24789
Materials,1676 Five Points Rd,34229.83
Property Insurance,1676 Five Points Rd,1008.09
Property Purchase,1676 Five Points Rd,6267.82
Staging and Interiors,1676 Five Points Rd,4000
Third Party Vendors,1676 Five Points Rd,15844.62
Utilities,1676 Five Points Rd,1478.87
Total for Expenses,1676 Five Points Rd,97313.22999999998
Net Operating Income,1676 Five Points Rd,-97313.22999999998
Net Income,1676 Five Points Rd,-97313.22999999998
Cleaning services,1688 Brewster Rd,420
Dumpsters,1688 Brewster Rd,1329.48
Interest Payment,1688 Brewster Rd,3629.03
Labor,1688 Brewster Rd,16800
Materials,1688 Brewster Rd,14556.59
Third Party Vendors,1688 Brewster Rd,6546
Utilities,1688 Brewster Rd,583.74
Total for Expenses,1688 Brewster Rd,43864.840000000004
Net Operating Income,1688 Brewster Rd,-43864.840000000004
Net Income,1688 Brewster Rd,-43864.840000000004
Sale of property,1703 Molly Cir.,170895.11
Total for Income,1703 Molly Cir.,170895.11
Gross Profit,1703 Molly Cir.,170895.11
Dumpsters,1703 Molly Cir.,932.15
Labor,1703 Molly Cir.,15600
Materials,1703 Molly Cir.,4205.01
Property Insurance,1703 Molly Cir.,867.5
Property Purchase,1703 Molly Cir.,80725.69
Third Party Vendors,1703 Molly Cir.,1940
Total for Expenses,1703 Molly Cir.,104270.35
Net Operating Income,1703 Molly Cir.,66624.75999999998
Net Income,1703 Molly Cir.,66624.75999999998
Sale of property,170502 Hwy 174,120133.53
Total for Income,170502 Hwy 174,120133.53
Gross Profit,170502 Hwy 174,120133.53
Dumpsters,170502 Hwy 174,1359.6
Total for Expenses,170502 Hwy 174,1359.6
Net Operating Income,170502 Hwy 174,118773.93
Net Income,170502 Hwy 174,118773.93
Labor,1706 Greenbriar Dr,5000
Materials,1706 Greenbriar Dr,3201.52
Total for Expenses,1706 Greenbriar Dr,8201.52
Net Operating Income,1706 Greenbriar Dr,-8201.52
Net Income,1706 Greenbriar Dr,-8201.52
Sale of property,1708 Molly Dr.,71097.57
Total for Income,1708 Molly Dr.,71097.57
Gross Profit,1708 Molly Dr.,71097.57
Admin Services,1708 Molly Dr.,500
Closing Costs,1708 Molly Dr.,623
Dumpsters,1708 Molly Dr.,2304.01
Labor,1708 Molly Dr.,22607.2
Materials,1708 Molly Dr.,22658.97
